Trade name 	UNS number	Density
Udimet® 700	N07700	7910
Udimet® 500	N07500	8020
René® 41	N07041	8250
NiSPAN-C® 902	N09902	8050
NIMONIC® 901	N09901	8140
NIMONIC® 90	N07090	8180
NIMONIC® 81	N07081	8060
NIMONIC® 80A	N07080	8190
NIMONIC® 75	N06075	8370
NIMONIC® 263	N07263	8360
NIMONIC® 115	N07115	7850
NIMONIC® 105	N07105	8010
MONEL® R-405	N04405	8800
MONEL® K-500	N05500	8440
MONEL® 404	N04404	8910
MONEL® 401	N04401	8890
MONEL® 400	N04400	8800
Invar K	K94610	8160
Invar 48	K94800	8200
Invar 42	K94100	8100
Invar 36	K93601	8100
INCONEL® X-750	N07750	8280
INCONEL® MA 754	N07754	8300
INCONEL® 783	R30783	7810
INCONEL® 751	N07751	8220
INCONEL® 740	N07740	8050
INCONEL® 725	N07725	8310
INCONEL® 718SPF	NO7718	8190
INCONEL® 718	N07718	8190
INCONEL® 693	N06693	7770
INCONEL® 690	N06690	8190
INCONEL® 686	N06686	8720
INCONEL® 625LCF	N06626	8440
INCONEL® 625	N06625	8440
INCONEL® 617	N06617	8360
INCONEL® 603XL	N06603	8540
INCONEL® 601GC	N06601	8110
INCONEL® 601	N06601	8110
INCONEL® 600	N06600	8470
INCOLOY® 925	N09925	8080
INCOLOY® 909	N19909	8300
INCOLOY® 907	N19907	8330
INCOLOY® 903	N19903	8250
INCOLOY® 902	N09902	8050
INCOLOY® 825	N08825	8140
INCOLOY® 800HT	N08811	7940
INCOLOY® 800	N08800	7940
HAYNES® HR-160	N12160	8080
HAYNES® HR-120	N08120	8070
HAYNES® 556	R30556	8230
HAYNES® 282	N07208	8270
HAYNES® 263	N07263	8360
HAYNES® 242	N10242	9050
HAYNES® 230	N06230	8970
HAYNES® 214	N07214	8050
HAYNES® 188	R30188	8980
HASTELLOY® X	N06002	8220
HASTELLOY® S	N06635	8750
HASTELLOY® N	N10003	8860
HASTELLOY® HX	N06920	8230
HASTELLOY® G30	N06030	8220
HASTELLOY® G3	N06985	8140
HASTELLOY® C4	N06455	8640
HASTELLOY® C276	N10276	8890
HASTELLOY® C22	N06022	8690
HASTELLOY® C2000	N06200	8500
HASTELLOY® B3	N10675	9220
HASTELLOY® B2	N10665	9220
HASTELLOY® B	N10001	9240
Alloy C263	N07263	8360
Alloy 52	N14052	8030
Alloy 46	K94600	8200
Alloy 42	N94100	8110
Alloy 405	N04405	8800
Alloy 400	N04400	8800
Alloy 36	K93600	8110
Alloy 270	N02270	8890
Alloy 205	N02205	8890
Alloy 201	N02201	8890
Alloy 200	N02200	8890
Alloy 20	N08020	8050
Alloy 188	R30188	9140
